rank,name,symbol,price,change_24h,market_cap,volume_24h,circulating_supply
,34.33K CMC20,,$191.15,0.13%,"$6.56M$6,563,091","$5,581,67629.20K",CoinMarketCap 20 Index DTFCMC20Buy
1,BitcoinBTCBuy,BTC,"$90,408.24",0.33%,"$1.8T$1,804,571,163,217","$70,225,014,359776.75K",19.96M BTC
2,EthereumETHBuy,ETH,"$3,209.36",0.67%,"$387.36B$387,355,378,889","$34,994,707,50910.89M",120.69M ETH
3,TetherUSDTBuy,USDT,$1.00,0.02%,"$186.12B$186,119,272,975","$115,874,141,765115.84B",186.07B USDT
4,XRPXRPBuy,XRP,$2.01,0.38%,"$121.57B$121,571,136,734","$4,133,033,6612.05B",60.33B XRP
5,BNBBNBBuy,BNB,$867.05,0.31%,"$119.42B$119,424,240,612","$2,564,218,1772.95M",137.73M BNB
6,USDCUSDCBuy,USDC,$0.9999,0.00%,"$78.28B$78,279,202,299","$15,435,634,37815.43B",78.28B USDC
7,SolanaSOLBuy,SOL,$131.20,0.33%,"$73.71B$73,708,937,410","$6,691,693,50051.00M",561.77M SOL
8,TRONTRXBuy,TRX,$0.2801,0.41%,"$26.53B$26,527,692,281","$649,911,2692.31B",94.68B TRX
9,DogecoinDOGEBuy,DOGE,$0.1378,0.20%,"$20.97B$20,969,267,846","$1,757,834,09512.75B",152.13B DOGE
10,CardanoADABuy,ADA,$0.4236,0.18%,"$15.21B$15,212,128,981","$1,123,701,2992.65B",35.91B ADA
11,Bitcoin CashBCHBuy,BCH,$561.96,0.48%,"$11.22B$11,219,819,251","$406,905,826724.07K",19.96M BCH
12,ChainlinkLINKBuy,LINK,$13.57,0.72%,"$9.46B$9,460,132,050","$858,710,79763.25M",696.84M LINK
13,HyperliquidHYPEBuy,HYPE,$27.96,0.17%,"$9.41B$9,414,944,989","$289,328,29310.34M",336.68M HYPE
14,UNUS SED LEOLEOBuy,LEO,$9.42,0.39%,"$8.69B$8,687,454,272","$883,71093.78K",921.93M LEO
15,StellarXLMBuy,XLM,$0.2417,0.74%,"$7.82B$7,821,433,325","$194,554,281804.69M",32.35B XLM
16,MoneroXMRBuy,XMR,$403.43,0.96%,"$7.44B$7,442,084,017","$190,126,521471.26K",18.44M XMR
17,ZcashZECBuy,ZEC,$415.05,0.94%,"$6.82B$6,820,234,222","$982,311,5452.36M",16.43M ZEC
18,Ethena USDeUSDeBuy,,$0.9995,0.01%,"$6.55B$6,551,287,803","$174,740,668174.81M",6.55B USDe
19,LitecoinLTCBuy,LTC,$80.96,0.26%,"$6.2B$6,202,882,024","$549,773,5586.79M",76.61M LTC
